Date,Event,Passage,Source
1991,"In Thompson v. Ereckson, the Texas Court of Appeals ruled that a court has the authority to dismiss an action if it finds that the allegation of poverty in an affidavit of inability to pay is false. This case provides a legal basis for dismissal in cases where false information is provided in the affidavit.","""Thompson v. Ereckson, 814 S.W.2d 805 (Tex. App. 1991)""","(id., p. 5)"
1992,"In Carson v. Gomez, the Texas Court of Appeals ruled that under section 13.001 of the Civil Practices and Remedies Code, a court may dismiss an action if it finds that the allegation of poverty in the affidavit is false. This case provides a legal basis for dismissing cases with false affidavits.","""Carson v. Gomez, 841 S.W.2d 491 (Tex. App. 1992)""","(id., p. 4)"
1992,"In Timmons v. Luce, the Texas Court of Appeals ruled that under TEX.CIV.PRAC. & REM.CODE ANN. § 13.001, a court may dismiss an action if it finds that the allegation of poverty in the affidavit is false. This statute is applicable to any case in Texas where such an affidavit is filed, including divorce cases.","""Timmons v. Luce, 840 S.W.2d 582 (Tex. App. 1992)""","(id., p. 5)"
1993,"In Brewer v. Collins, the Texas Court of Appeals ruled that under section 13.001 of the Texas Civil Practice and Remedies Code, a court may dismiss an action if it finds that the allegation of poverty in an affidavit of inability to pay is false. This case supports the dismissal of cases with false affidavits.","""Brewer v. Collins, 857 S.W.2d 819 (Tex. App. 1993)""","(id., p. 4)"
1995,"The case 'Padilla v. LaFrance' was referenced, indicating a legal proceeding or decision that took place in 1995.","""Padilla v. LaFrance, 907 S.W.2d 454, 1995""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
1995,"The case 'Padilla v. LaFrance' was referenced, indicating a legal proceeding related to the revocation of consent in Texas.","""Padilla v. LaFrance, 907 S.W.2d 454, 1995""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
1996,"In Aguilar v. Chastain, the Texas Court of Appeals ruled that when a lawsuit is filed in forma pauperis, it can be dismissed if found to be frivolous or malicious. This case implies that if a lie on an affidavit renders the case frivolous or malicious, it could be dismissed.","""Aguilar v. Chastain, 923 S.W.2d 740 (Tex. App. 1996)""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 4)"
1996,"The case 'Peacock v. Humble' was referenced, indicating a legal proceeding or decision that took place in 1996.","""Peacock v. Humble, 933 S.W.2d 341, 1996""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
1996,"The case 'Peacock v. Humble' was referenced, indicating a legal proceeding or decision that took place in 1996.","""Peacock v. Humble, 933 S.W.2d 341 (Tex. App. 1996)""","(id., p. 4)"
1996,"The case 'Peacock v. Humble' was referenced, indicating a legal proceeding related to the effect of lack of notice in Texas.","""Peacock v. Humble, 933 S.W.2d 341, 1996""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
1996,"The case 'Peacock v. Humble' was referenced, indicating a legal proceeding related to the requirement of notice of the substance of an associate judge's report in Texas.","""Peacock v. Humble, 933 S.W.2d 341 (Tex. App. 1996)""","(id., p. 4)"
1998,"The Texas Court of Appeals found that an associate judge's report can be considered valid if it is noted on the trial court's docket sheet and pronounced in open court, even if a party is absent.","""Robles v. Robles, 965 S.W.2d 605 (Tex. App. 1998)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 3)"
1998,"The Texas Court of Appeals rules that an associate judge's report can be considered valid if it is noted on the trial court's docket sheet and pronounced in open court, even if a party is absent.","""Robles v. Robles, 965 S.W.2d 605 (Tex. App. 1998)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 3)"
1999,"In Denson v. T.D.C.J.-I.D., the Texas Court of Appeals ruled that when a plaintiff files an affidavit of inability to pay, the trial court has broad discretion to dismiss the suit as frivolous or malicious. This case underscores the court's discretion in handling cases involving affidavits of inability to pay.","""Denson v. T.D.C.J.-I.D. (Tex. App. 1999)""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 3)"
1999,"In the case of Quaestor Investments, Inc. v. State of Chiapas, the Texas Supreme Court emphasized that the defendant's obligation to answer in state court is not triggered until the plaintiff files the remand order and provides notice.","""Quaestor Investments, Inc. v. State of Chiapas, 997 S.W.2d 226 (Tex. 1999), the Texas Supreme Court again emphasized that the defendant’s obligation to answer in state court is not triggered until the plaintiff files the remand order and provides notice.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
1999,"The Texas Supreme Court in Quaestor Investments, Inc. v. State of Chiapas addressed Rule 237a, emphasizing that the rule requires the plaintiff to file the remand order and notify adverse parties' attorneys. The court noted that the defendant's answer deadline is triggered by this notice, highlighting the procedural importance of the plaintiff's actions post-remand.","""The Texas Supreme Court in Quaestor Investments, Inc. v. State of Chiapas, 997 S.W.2d 226 (Tex. 1999) also addressed Rule 237a, noting that the rule requires the plaintiff to file the remand order and notify adverse parties’ attorneys, and that the answer deadline is triggered by this notice.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 1)"
1999,"The Texas Court of Appeals ruled that even if a referring court fails to hear an appeal from an associate judge's report within the 30-day period specified by the Texas Family Code, this does not deprive the court of jurisdiction.","""Lopez v. Lopez, 995 S.W.2d 896 (Tex. App. 1999)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 4)"
1999,"The Texas Court of Appeals rules that even if a referring court fails to hear an appeal from an associate judge's report within the 30-day period specified by the Texas Family Code, this does not deprive the court of jurisdiction.","""Lopez v. Lopez, 995 S.W.2d 896 (Tex. App. 1999)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 4)"
1999,"The Texas Supreme Court discussed Rule 237a in Quaestor Investments, Inc. v. State of Chiapas, emphasizing the fifteen-day period for answering after notice of remand is given.","""In Quaestor Investments, Inc. v. State of Chiapas, 997 S.W.2d 226 (Tex. 1999), the Texas Supreme Court again discussed Rule 237a, emphasizing that the rule provides a fifteen-day period for answering after notice of remand is given.""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 1)"
2000,"The case 'Phagan v. Aleman' was referenced, indicating a legal proceeding or decision that took place in 2000.","""Phagan v. Aleman, 29 S.W.3d 632, 2000""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 1)"
2000,"The Texas Court of Appeals case 'In Re: Jane Doe 2' was documented, discussing the review of a trial court's best interests findings for abuse of discretion.","""In Re: Jane Doe 2, 19 S.W.3d 278 (Tex. App. 2000)""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 9)"
2000,"The case 'Phagan v. Aleman' was referenced, indicating a legal proceeding related to the mandatory nature of de novo hearings in Texas.","""Phagan v. Aleman, 29 S.W.3d 632, 2000""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 1)"
2000,The Texas Court of Appeals ruled that a district or statutory county court judge in Texas has the authority to hear and determine matters pending in any district or statutory county court within the same county.,"""In re Nash, 13 S.W.3d 894 (Tex. App. 2000)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 6)"
2000,The Texas Court of Appeals rules that a district or statutory county court judge in Texas has the authority to hear and determine matters pending in any district or statutory county court within the same county.,"""In re Nash, 13 S.W.3d 894 (Tex. App. 2000)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 6)"
2002,"In the case In re K.R.P., the Texas Court of Appeals addressed the presumption in favor of appointing parents as joint managing conservators, which can be rebutted by evidence that such an appointment would significantly impair the child's physical health or emotional development, or by a history of family violence.","""The presumption in favor of appointing parents as joint managing conservators can be rebutted by evidence that such an appointment would significantly impair the child’s physical health or emotional development, or by a history of family violence (Tex. Fam. Code § 153.131; In re K.R.P., 80 S.W.3d 669 (Tex. App. 2002)).""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 3)"
2004,"The Holley factors were codified by statute, as recognized in the case Corrales v. Department of Family and Prot. in 2004. This codification ensures their continued relevance and application in custody cases.","""It is important to note that the Holley factors have been codified by statute, as recognized in Corrales v. Department of Family and Prot., 155 S.W.3d 478 (Tex. App. 2004).""","(id., p. 2)"
2004,"The Texas Court of Appeals ruled that the trial court retains ultimate jurisdiction over the matters heard by associate judges, as their recommendations do not become final without the trial judge's ratification unless an appeal is filed.","""In re G.S.G., 145 S.W.3d 351 (Tex. App. 2004)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 6)"
2004,"The Texas Court of Appeals provides insight into the procedural framework of how associate judges operate within the Texas Family Code, clarifying that associate judges can hear matters under the jurisdiction of the trial court, but their recommendations do not become final without the trial judge's ratification unless an appeal is filed.","""In re G.S.G., 145 S.W.3d 351 (Tex. App. 2004)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 6)"
2006 and 1990,"In the cases of Toliver v. Dallas Fort Worth Hosp. Council and HBA East, Ltd. v. JEA Boxing Co., Inc., the Texas Court of Appeals reinforced that the plaintiff's obligation to file the certified remand order and provide notice is absolute and not contingent on the defendant's actions in federal court.","""Toliver v. Dallas Fort Worth Hosp. Council, 198 S.W.3d 444 (Tex. App. 2006) and HBA East, Ltd. v. JEA Boxing Co., Inc., 796 S.W.2d 534 (Tex. App. 1990) both reinforce that the plaintiff’s obligation to file the certified remand order and provide notice is absolute and not contingent on the defendant’s actions in federal court.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
2006,The Texas Court of Appeals in Toliver v. Dallas Fort Worth Hosp. Council explained that the plaintiff's filing and notice under Rule 237a are necessary to trigger the fifteen-day deadline for the defendant to file an answer. This decision underscores the procedural requirement for the plaintiff to act post-remand to initiate the defendant's answer period.,"""In Toliver v. Dallas Fort Worth Hosp. Council, 198 S.W.3d 444 (Tex. App. 2006), the court explained that the plaintiff’s filing and notice under Rule 237a are necessary to trigger the fifteen-day deadline for the defendant to file an answer.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 1)"
2006,The court in Toliver v. Dallas Fort Worth Hosp. Council held that the fifteen-day deadline for the defendant to file an answer is triggered only by the plaintiff’s filing of the remand order and written notice.,"""In Toliver v. Dallas Fort Worth Hosp. Council, 198 S.W.3d 444 (Tex. App. 2006), the court held that the fifteen-day deadline for the defendant to file an answer is triggered only by the plaintiff’s filing of the remand order and written notice.""","(vLex-Vincent-Does-a-defendant's-attempt-to.pdf, p. 1)"
2006 and 1990,"The courts in Toliver v. Dallas Fort Worth Hosp. Council and HBA East, Ltd. v. JEA Boxing Co., Inc. confirmed that the fifteen-day answer deadline for the defendant is triggered only by the plaintiff’s filing and notice.","""Similarly, Toliver v. Dallas Fort Worth Hosp. Council (198 S.W.3d 444, 447–48 [Tex. App. 2006]) and HBA East, Ltd. v. JEA Boxing Co., Inc. (796 S.W.2d 534, 538 [Tex. App. 1990]) both confirm that the fifteen-day answer deadline for the defendant is triggered only by the plaintiff’s filing and notice, not by any action of the defendant.""","(id., p. 2)"
2006,"In Toliver v. Dallas Fort Worth Hosp. Council, the court held that the defendant’s deadline to answer was not triggered because the plaintiff had not provided the required notice.","""Similarly, in Toliver v. Dallas Fort Worth Hosp. Council, the court held that the defendant’s deadline to answer was not triggered because the plaintiff had not provided the required notice, even though the defendant was aware of the remand and had participated in the case.""","(id., p. 2)"
2007,"The Texas Court of Appeals issued a decision in the case of In re B.F.B., 241 S.W.3d 643, in 2007. This case addressed the limitations of a visiting judge's authority, emphasizing that actions beyond the scope of their assignment render judgments void.","""In re B.F.B., 241 S.W.3d 643 (Tex. App. 2007).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 2)"
2008,"In Higgins v. Randall County Sheriff's Office, the Texas Supreme Court noted that if no contest is filed against an affidavit of indigence, the affidavit’s allegations are deemed true, allowing the party to proceed without paying costs. This case highlights the importance of contesting false affidavits to prevent them from being accepted as true.","""Higgins v. Randall County Sheriff's Office, 257 S.W.3d 684 (Tex. 2008) (noting that if no contest is filed, the affidavit’s allegations are deemed true).""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 2)"
2008,"In Higgins v. Randall County Sheriff's Office, the Texas Supreme Court ruled that if an affidavit of indigence is not contested, its allegations are deemed true, and the party can proceed without paying costs. This case emphasizes the importance of contesting affidavits to prevent false claims from being accepted.","""Higgins v. Randall County Sheriff's Office, 257 S.W.3d 684 (Tex. 2008)""","(id., p. 3)"
2008,"The Texas Court of Appeals issued a decision in the case of In re Gulf Coast Business Development Corp., 247 S.W.3d 787, in 2008. This case discussed the criteria under Rule 174 for consolidating cases, emphasizing the need for common issues of law or fact and the trial court's discretion.","""In re Gulf Coast Business Development Corp., 247 S.W.3d 787 (Tex. App. 2008).""","(vLex-Vincent-Is-it-appropriate-for-a.pdf, p. 3)"
2010,"In the case of Gonzalez v. Guilbot, the Texas Supreme Court confirmed the requirement under Rule 237a for the plaintiff to file a certified copy of the remand order and notify adverse parties.","""Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010), the Texas Supreme Court confirmed that Rule 237a requires the plaintiff to file a certified copy of the remand order and to notify adverse parties.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
2010,The Texas Supreme Court confirmed in Gonzalez v. Guilbot that Rule 237a requires the plaintiff to file a certified copy of the remand order with the state court clerk. This decision emphasizes the procedural requirement for plaintiffs to ensure the prompt recommencement of proceedings in state court after a case is remanded from federal court.,"""In Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010), the Texas Supreme Court confirmed that Rule 237a expressly requires the plaintiff to file a certified copy of the remand order with the state court clerk.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 1)"
2010,The Texas Supreme Court in Gonzalez v. Guilbot emphasized the plaintiff's obligation under Rule 237a to file a certified copy of the remand order with the state court clerk.,"""In Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010), the Texas Supreme Court underscored that Rule 237a expressly places the obligation on the plaintiff to file a certified copy of the remand order with the state court clerk.""","(vLex-Vincent-Does-a-defendant's-attempt-to.pdf, p. 1)"
2010,The Texas Supreme Court in Gonzalez v. Guilbot emphasized the importance of Rule 237a in ensuring clarity and uniformity in the transfer of jurisdiction back to the state court.,"""The Texas Supreme Court in Gonzalez v. Guilbot (315 S.W.3d 533, 540–41 [Tex. 2010]) emphasized that the procedural requirements of Rule 237a are designed to ensure clarity and uniformity in the transfer of jurisdiction back to the state court.""","(id., p. 1)"
2010,The Texas Supreme Court in Gonzalez v. Guilbot emphasized the plaintiff's obligation under Rule 237a to file a certified copy of the remand order with the state court clerk.,"""In Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010), the Texas Supreme Court underscored that Rule 237a expressly places the obligation on the plaintiff to file a certified copy of the remand order with the state court clerk.""","(id., p. 4)"
2010,"The Texas Supreme Court addressed the operation of Rule 237a in the case of Gonzalez v. Guilbot, clarifying that if a defendant has already answered in federal court, no default judgment may be rendered against them for failing to file a new answer in state court.","""The Texas Supreme Court in Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010) directly addressed the operation of Rule 237a.""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 1)"
"2012, 2018, 2022, 2023","The Holley factors have been reaffirmed and applied in various Texas appellate and Supreme Court decisions, including In re A.C. in 2018, In re E.N.C. in 2012, In re S.C. in 2022, In re A.A.C. in 2023, and C.L.W. v. R.V.W. in 2023. These cases demonstrate the continued relevance and application of the Holley factors in determining the best interest of the child in custody cases.","""These factors have been repeatedly reaffirmed and applied in subsequent appellate and Supreme Court decisions (In re A.C., 560 S.W.3d 624 (Tex. 2018); In re E.N.C., 384 S.W.3d 796 (Tex. 2012); In re S.C., 04-22-00125-CV (Tex. App. Aug 17, 2022); In re A.A.C. (Tex. App. Oct. 5, 2023); C.L.W. v. R.V.W. (Tex. App. Aug. 10, 2023)).""","(vLex-Vincent-What-factors-can-a-trial.pdf, p. 2)"
2012,"The Texas Supreme Court case 'In re E.N.C.' was documented, providing a list of nonexclusive factors for determining whether termination of parental rights is in a child's best interest.","""In re E.N.C., 384 S.W.3d 796, 56 Tex. Sup. Ct. J. 19 (Tex. 2012)""","(id., p. 9)"
2012,The Court of Appeals in Kashan v. McLane Co. clarified that the plaintiff’s obligation under Rule 237a is not waived by the defendant’s actions.,"""The Court of Appeals in Kashan v. McLane Co. (No. 03-11-00125-CV) further clarified that the plaintiff’s obligation is not waived by the defendant’s actions, including attempts to set motions in the trial court after remand.""","(vLex-Vincent-Does-a-defendant's-attempt-to.pdf, p. 1)"
2012,"In Kashan v. McLane Co., the court addressed the argument that the defendant’s attempt to set motions in the trial court after remand could waive the plaintiff’s duty, and rejected it.","""In Kashan v. McLane Co., the court specifically addressed the argument that the defendant’s attempt to set motions in the trial court after remand could waive the plaintiff’s duty.""","(id., p. 2)"
"January 26, 2012","In the case of Jackson v. North Forest Independent School District, the Texas Court of Appeals held that when an affidavit of indigence is filed under Rule 145, the trial court may dismiss the case if it finds the allegation of poverty to be false, relying on Texas Civil Practice and Remedies Code § 13.001(a)(1). This case reinforces the court's authority to dismiss cases based on false affidavits.","""Similarly, in Jackson v. North Forest Indep. Sch. Dist., No. 01-10-00010-CV (Tex. App. Jan. 26, 2012), the court held that when an affidavit of indigence is filed under Rule 145, the trial court may dismiss the case if it finds the allegation of poverty to be false, again relying on § 13.001(a)(1).""","(vLex-Vincent-Can-a-divorce-case-be.pdf, p. 1)"
"January 26, 2012","In Jackson v. North Forest Independent School District, the Texas Court of Appeals ruled that under Texas Rule of Civil Procedure 145, if a party files an affidavit of indigence and it is found to be false, the trial court has the authority to dismiss the case. This rule applies to any case where an affidavit of indigence is filed, including divorce cases.","""Jackson v. North Forest Indep. Sch. Dist., NO. 01-10-00010-CV (Tex. App. Jan 26, 2012)""","(id., p. 6)"
"June 7, 2012","In the case of Kashan v. McLane Co., the Texas Court of Appeals explained that the plaintiff's duty to file the certified remand order and provide notice is independent of whether the defendant has already answered in federal court.","""Kashan v. McLane Co., No. 03-11-00125-CV (Tex. App. Jun 07, 2012), the court explained that the plaintiff’s duty to file the certified remand order and provide notice is independent of whether the defendant has already answered in federal court.""","(vLex-Vincent-Is-the-plaintiff-required-to.pdf, p. 1)"
"June 7, 2012","The Texas Court of Appeals in Kashan v. McLane Co. reiterated that the requirements of Rule 237a are not waived by the defendant's prior answer in state court before removal. This decision reinforces the mandatory nature of the plaintiff's obligation to file the remand order and provide notice, regardless of the defendant's prior actions.","""In Kashan v. McLane Co., NO. 03-11-00125-CV (Tex. App. Jun 07, 2012), the court reiterated that Rule 237a’s requirements are not waived by the defendant’s prior answer in state court before removal.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 1)"
"June 7, 2012",The Texas Court of Appeals in Kashan v. McLane Co. reaffirmed the plaintiff's obligation under Rule 237a to file the remand order and provide written notice to adverse parties.,"""The Texas Court of Appeals in Kashan v. McLane Co., No. 03-11-00125-CV (Tex. App. June 7, 2012) reaffirmed that the plain language of Rule 237a imposes the burden on the plaintiff to file the remand order and provide written notice to adverse parties.""","(vLex-Vincent-Does-a-defendant's-attempt-to.pdf, p. 1)"
2013,The Texas Court of Appeals ruled that associate judges do not have the power to render final judgments except in specific circumstances outlined in section 201.007 of the Family Code. Their orders are temporary and subject to appeal to the referring trial court.,"""Graham v. Graham, 414 S.W.3d 800 (Tex. App. 2013)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 4)"
2013,The Texas Court of Appeals rules that associate judges do not have the power to render final judgments except in specific circumstances outlined in section 201.007 of the Family Code. Their orders are temporary and subject to appeal to the referring trial court.,"""Graham v. Graham, 414 S.W.3d 800 (Tex. App. 2013)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 4)"
"September 25, 2014","The case 'In re Eaton' was referenced, indicating a legal proceeding or decision that took place on September 25, 2014.","""In re Eaton, NO. 02-14-00239-CV (Tex. App. Sep 25, 2014)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 3)"
"September 25, 2014","The case 'In re Eaton' was referenced, indicating a legal proceeding related to the right to appeal or seek other relief from higher courts in Texas.","""In re Eaton, NO. 02-14-00239-CV (Tex. App. Sep 25, 2014)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 3)"
2015,"The Texas Court of Appeals in Hsin-Chi-Su v. Vantage Drilling Co. concluded that a case could be remanded without a formal remand order, and the absence of such an order is a procedural defect that does not affect the state court's jurisdiction. This decision suggests that procedural requirements related to remand may be waived if parties do not object and proceed with the case.","""The Texas Court of Appeals in Hsin-Chi-Su v. Vantage Drilling Co., 474 S.W.3d 284 (Tex. App. 2015) concluded that a case could be remanded without a formal remand order, and the absence of such an order is a procedural defect that does not affect the state court's jurisdiction.""","(vLex-Vincent-Does-a-defendant's-prior-answer.pdf, p. 3)"
2015,"The Texas Court of Appeals in Hsin-Chi-Su v. Vantage Drilling Co. discussed jurisdictional issues when a case is remanded from federal court to state court, highlighting that a remand order is typically necessary for the state court to regain jurisdiction.","""Hsin-Chi-Su v. Vantage Drilling Co., 474 S.W.3d 284 (Tex. App. 2015)""","(vLex-Vincent-Is-Rule-237a-of-the.pdf, p. 3)"
"May 08, 2015","The Texas Court of Appeals ruled that an associate judge may conduct hearings and make recommendations, but a party can request a de novo hearing before the referring court. The request for a de novo hearing limits the issues that can be raised but does not limit the jurisdiction of the referring court.","""Mayorga v. Mayorga, NO. 03-13-00783-CV (Tex. App. May 08, 2015)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 3)"
"May 08, 2015","The Texas Court of Appeals explains that an associate judge may conduct hearings and make recommendations, but a party can request a de novo hearing before the referring court. The request for a de novo hearing limits the issues that can be raised but does not limit the jurisdiction of the referring court.","""Mayorga v. Mayorga, NO. 03-13-00783-CV (Tex. App. May 08, 2015)""","(vLex-Vincent-In-Texas,-if-a-party (1).pdf, p. 3)"
2016,"The case 'Gerke v. Kantara' was referenced, indicating a legal proceeding or decision that took place in 2016.","""Gerke v. Kantara, 492 S.W.3d 791 (Tex. App. 2016)""","(vLex-Vincent-In-Texas,-if-a-party (2).pdf, p. 3)"
2016,"The case 'Gerke v. Kantara' was referenced, indicating a legal proceeding related to the powers of an associate judge in Texas.","""Gerke v. Kantara, 492 S.W.3d 791 (Tex. App. 2016)""","(vLex-Vincent-In-Texas,-if-a-party (3).pdf, p. 3)"
2016,"The Texas Court of Appeals ruled that an associate judge has the authority to recommend an order, but it only becomes final and appealable once signed by the referring court.","""Gerke v. Kantara, 492 S.W.3d 791 (Tex. App. 2016)""","(vLex-Vincent-In-Texas,-if-a-party.pdf, p. 6)"
