citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
782 F.2d 883,24,0,24,44,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | Gable, 782 F.2d 883 (10th Cir. 1986)). ANALYSIS F. Existence of an"
985 F.3d 1272,24,1,23,29,law_enforcement;notice;jurisdiction;rico;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 985 F.3d 1272, 1281 (10th Cir. 2021)). Mere labels and conclusions or formulaic"
444 U.S. 37,24,1,23,28,law_enforcement;rico;fraud_perjury;federal_court;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 78. The Supreme Court's explanation in Perrin v. United States, 444 U.S. 37"
935 F.2d 1106,24,1,23,25,law_enforcement;jurisdiction;rico;lockout_eviction;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | liberal construction but does not act as an advocate. See Hall v. Bellmon, 935 F.2d 1106,"
458 S.W.3d 532,23,23,0,130,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | As stated in In re Conner, 458 S.W.3d 532 (Tex. 2015), [t]he issue here is whether a trial court"
133 S.W.3d 217,23,12,11,105,appeal;jurisdiction;property_financial;lockout_eviction;hearing,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | Miranda, 133 S.W.3d 217, 228 (Tex. 2004)). Here, the material jurisdictional facts are not in"
254 S.W.3d 659,23,21,2,104,notice;jurisdiction;hearing;custody;temporary_orders,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | has no discretion to refuse to rule at all. In re Blakeney, 254 S.W.3d 659, 661"
760 S.W.2d 245,23,23,0,104,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | However, the Texas Supreme Court in Wyatt v. Shaw Plumbing Co., 760 S.W.2d 245, 247 (Tex."
872 F.2d 347,23,1,22,78,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Bank, Bartlesville, Oklahoma, 872 F.2d 347, 351 (10th Cir. 1989); Condict v. Condict,"
945 S.W.2d 268,22,11,11,92,appeal;hearing;injunction;federal_court;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 945 S.W.2d 268, 269 (Tex.App.-San Antonio 1997, orig. proceeding). . 15"
907 S.W.2d 454,22,14,8,82,appeal;hearing;notice;jurisdiction;federal_court,"CASE DOCS\03.20.2025_233-765358-25 EMERGENCY EX-PARTE MOTION TODECLARE JUDGMENT VOID AB INITIO AND FOR IMMEDIATE RE-ENTRY-1.pdf | v. LaFrance, 907 S.W.2d 454, 461 (Tex.1995)."
815 F.2d 579,22,1,21,63,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | objective is fully achieved, continuity is lacking. Id., 815 F.2d 579, 581 (10th Cir. 1987)."
700 S.W.2d 916,21,13,8,82,appeal;law_enforcement;notice;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 700 S.W.2d 916, 917 (Tex. 1985) ........................................................... 13"
315 S.W.3d 533,21,5,16,68,federal_court;appeal;notice;jurisdiction;removal_remand,"CASE DOCS\09.26.25 - ORDER SUMMARILY DENYING KAITCER-1.pdf |  30.016 (b) (3); Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010). That is, once a tertiary"
826 F.2d 923,21,1,20,61,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | 826 F.2d 923, 927 (10th Cir. 1987)). Conversely, if the scheme is truly isolated and its"
698 S.W.2d 362,21,16,5,48,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Placke,698 S.W.2d 362, 363(Tex. 1985))"
855 F.2d 241,21,0,21,44,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Delta Truck & Tractor, Inc. v. J.I. Case Co., 855 F.2d 241, 242 (5th Cir."
415 S.W.2d 642,20,11,9,88,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Page v. Sherrill, 415 S.W.2d 642 (Tex. 1967): Mandamus granted where"
783 S.W.2d 202,20,16,4,78,recusal;appeal;federal_court;notice;hearing,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | Co. v. Jackson, 783 S.W.2d 202, 204 (Tex. 1989), the Texas Supreme Court"
327 F.3d 1081,20,0,20,53,fraud_perjury;appeal;discovery;law_enforcement;notice,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | business enterprise (U.S. v. Welch, 327 F.3d 1081 (10th Cir. 2003)). The"
886 F.2d 1262,20,0,20,37,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | Phelps v. Wichita Eagle-Beacon, 886 F.2d 1262 (10th Cir. 1989)"
349 F.3d 1253,20,0,20,29,fraud_perjury;appeal;law_enforcement;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | incidental or remote (Deck v. Engineered Laminates, 349 F.3d 1253 (10th"
926 S.W.2d 391,19,13,6,71,recusal;appeal;law_enforcement;hearing;federal_court,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | judges impartiality. Sanchez v. State, 926 S.W.2d 391, 394 (Tex. App.El Paso"
379 S.W.3d 267,19,10,9,70,notice;federal_court;appeal;hearing;property_financial,"CASE DOCS\04.21.2025_02-25-00166-CV - EN BANC VOID ORDER-1.pdf | 379 S.W.3d 267, 27173 (Tex. 2012) ..................................................... 10"
57 S.W.3d 456,19,19,0,58,fraud_perjury;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | 57 S.W.3d 456, 457 (Tex. App.San Antonio 2001, orig. proceeding). This"
118 S.W.3d 742,19,15,4,48,hearing;federal_court;property_financial;mandamus;associate_judge,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | nullity. See King Ranch, Inc. v. Chapman, 118 S.W.3d 742, 75152 (Tex. 2003) (judgment"
47 F.3d 1280,19,0,19,40,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-a-series-of-acts-spanning-from-December-2023-through-May-2025--including-wire-1.pdf | The Third Circuit in Tabas v. Tabas, 47 F.3d 1280 (3d Cir. 1995) (declined to"
212 S.W.3d 417,19,18,1,39,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Young v. Young, 212 S.W.3d 417 (Tex. App. 2006).RESERVED"
774 S.W.2d 662,19,18,1,39,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | sentiment echoed in Cosgrove v. Grimes, 774 S.W.2d 662, 665 (Tex."
480 F.3d 351,19,1,18,38,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.04.25 - NOTICE OF RICO COMPLAINT-1.pdf | predicate act under RICO (Abraham v. Singh, 480 F.3d 351 (5th Cir. 2007))."
93 S.W.3d 372,19,9,10,30,appeal;notice;hearing;custody;federal_court,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf |  In re E.L.T., 93 S.W.3d 372 (Tex. App.Houston [14th Dist.] 2002, no pet.) (SAPCR"
187 S.W.3d 148,18,18,0,90,appeal;notice;hearing;federal_court;fraud_perjury,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | presumption is rebuttable. Breceda v. Whi, 187 S.W.3d 148, 152 (Tex. App.--El Paso 2006, no"
411 S.W.3d 445,18,13,5,73,appeal;notice;jurisdiction;custody;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | In re Stephanie Lee, 411 S.W.3d 445, 450 (Tex. 2013): Court must enforce valid"
556 U.S. 868,18,13,5,71,appeal;federal_court;due_process;recusal;hearing,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | tolerable. Caperton v. A.T. Massey Coal Co., 556 U.S. 868, 872 (2009) (citing"
832 S.W.2d 424,18,3,15,62,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\05.02.25 - 25-0367 MANDAMUS-1.pdf | 832 S.W.2d 424, 426 (Tex. App.Houston [1st Dist.] 1992) .................. 15"
275 S.W.3d 109,18,6,12,35,recusal;appeal;law_enforcement;hearing;ex_parte,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | denied); Ex parte Ellis, 275 S.W.3d 109, 117 (Tex. App.Austin 2008, no pet.). Simply"
51 S.W.3d 727,18,0,18,28,recusal;appeal;hearing;federal_court;property_financial,"RESEARCH\VLEX EVANS-1.pdf | Woodruff v. Wright, 51 S.W.3d 727 (Tex. App. 2001)"
474 U.S. 438,18,0,18,22,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Defendants-engaged-in-at-least-two-predicate-acts--wire-fraud--money-laundering--obstruction--etc----1.pdf | 474 U.S. 438 (1986), but this abrogation was limited to the harmless error"
741 F.2d 482,18,0,18,18,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Sedima, S.P.R.L. v. Imrex Co., Inc., 741 F.2d 482 (2nd Cir. 1984)"
96 S.W.3d 708,17,17,0,92,appeal;law_enforcement;hearing;injunction;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 96 S.W.3d 708, 710 (Tex. App.- Amarillo 2003, orig. proceeding) .......... 8"
325 S.W.3d 640,17,17,0,54,fraud_perjury;appeal;law_enforcement;notice;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | ruling months or years in the future. In re Scheller, 325 S.W.3d 640, 643 (Tex."
485 U.S. 80,17,12,5,43,fraud_perjury;appeal;notice;hearing;custody,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | Peralta v. Heights Medical Center, Inc., 485 U.S. 80, 84-85 (1988) (judgment rendered without"
909 S.W.2d 872,17,7,10,36,recusal;appeal;law_enforcement;hearing;due_process,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | recusal. See Rogers v. Bradley, 909 S.W.2d 872, 873 (Tex.1995) (Declaration of"
695 F.3d 1125,17,0,17,28,fraud_perjury;appeal;discovery;law_enforcement;notice,RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | 695 F.3d 1125 (10th Cir. 2012)). The Tenth Circuit has further explained
959 S.W.2d 265,17,1,16,25,recusal;appeal;law_enforcement;hearing;federal_court,"CASE DOCS\11.11.24 - MOTION TO ENTER JUDGMENT-1.pdf | Ludlow v. DeBerry, 959 S.W.2d 265, 281 (Tex.App.-Houston [14th Dist.] 1997, no pet.)."
901 S.W.2d 926,16,9,7,77,appeal;notice;hearing;custody;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 901 S.W.2d 926, 930 (Tex. 1995) ........................................................... 20"
815 S.W.2d 548,16,12,4,50,due_process;ex_parte;notice;jurisdiction;temporary_orders,"CASE DOCS\04.03.24 - Notice of filing Original Proceeding-1.pdf | Dancy v. Daggett, 815 S.W.2d 548, 549 (Tex. 1991) (per curiam)...22"
79 S.W.3d 10,16,13,3,45,appeal;law_enforcement;custody;property_financial;protective_order,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | conservatorship and possession of and access to the child); Lenz v. Lenz, 79 S.W.3d 10, 14"
127 S.W.3d 1,16,3,13,44,recusal;appeal;law_enforcement;federal_court;ex_parte,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | sufficiency of the allegations (De Leon v. Aguilar, 127 S.W.3d 1 (Tex. Crim. App. 2004))."
210 S.W.3d 609,16,15,1,44,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Protective Servs., 210 S.W.3d 609, 613 (Tex. 2006) (orig. proceeding) (quoting Proffer v."
4 S.W.3d 897,16,1,15,42,appeal;jurisdiction;federal_court;hearing;mandamus,CASE DOCS\09.25.25 - MANDAMUS 0861.pdf | 4 S.W.3d 897 (Tex. App. 1999)) .............................................................. 12
119 S.W.3d 707,16,0,16,39,appeal;custody;federal_court;due_process;notice,"RESEARCH\vLex-Vincent--The-initial-removal-from-the-home-was-done-without-any-evidentiary-hearing--findings-of-fact--or-op-1.pdf | 119 S.W.3d 707, 710-11 (Tex.2003); In re K.A.S., 131 S.W.3d 215, 230-31"
661 F.3d 1291,16,0,16,33,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | F.Supp.3d 1209 (D. N.M. 2021); United States v. Randall, 661 F.3d 1291"
946 S.W.2d 533,16,0,16,27,law_enforcement;jurisdiction;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent--1-NO--25-0367-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS----------MOTION-FOR-REHEARI-1.pdf | merely its denial. As explained in Monroe v. Blackmon, 946 S.W.2d 533 (Tex."
29 S.W.3d 199,16,0,16,21,appeal;notice;hearing;custody;ex_parte,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | In re Crystal Aubin, 29 S.W.3d 199 (Tex. App. 2000)"
290 S.W.3d 204,15,11,4,90,fraud_perjury;appeal;law_enforcement;notice;hearing,CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 290 S.W.3d 204 (Tex. 2009)) .................................................................. 13
994 S.W.2d 628,15,11,4,56,appeal;notice;hearing;federal_court;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Equipment, 994 S.W.2d 628 (Tex. 1999)."
654 S.W.2d 442,15,7,8,50,appeal;civil_rights_1983;hearing;notice;jurisdiction,"CASE DOCS\04.11.25 - Validity of the February 1 and March 14 Reports and the March 26, 2024 Temporary Orders-1.pdf | Homes, Inc., 654 S.W.2d 442 (Tex. 1983) reaffirm that a party may revoke consent any time before judgment is rendered,"
