citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
Inc. v. Dick | 810 F.2d 925,32,1,31,101,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Torwest DBC, Inc. v. Dick, 810 F.2d 925, 928 (10th Cir. 1987); Edwards v. First Nat."
Troxel v. Granville | 530 U.S. 57,32,19,13,94,due_process;ex_parte;notice;temporary_orders;federal_court,"CASE DOCS\04.11.25 - Validity of the February 1 and March 14 Reports and the March 26, 2024 Temporary Orders-1.pdf | fundamental liberty interest. (See Troxel v. Granville, 530 U.S. 57 (2000); Tex. Const. art. I, 19 (due course of law).) At"
In re E.R | 385 S.W.3d 552,32,9,23,76,appeal;notice;federal_court;due_process;hearing,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | A void judgment can be collaterally attacked at any time. In re E.R., 385 S.W.3d 552, "
Inc. v. SFHC | 917 F.2d 1507,31,0,31,60,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | common scheme. Id. (citing Sil-Flo, Inc. v. SFHC, Inc., 917 F.2d 1507, 1516"
Ashcroft v. Iqbal | 556 U.S. 662,31,1,30,45,jurisdiction;rico;fraud_perjury;federal_court;discovery,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And while the Court"
Sedima v. Imrex | 473 U.S. 479,31,0,31,36,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Sedima v. Imrex Company, Inc, 473 U.S. 479, 105 S.Ct. 3275, 87 L.Ed.2d 346"
Holley v. Adams | 544 S.W.2d 367,29,22,7,197,custody;property_financial;appeal;protective_order;law_enforcement,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Holley v. Adams, 544 S.W.2d 367 (Tex. 1976).36"
Curtis v. Gibbs | 511 S.W.2d 263,28,28,0,114,appeal;notice;jurisdiction;federal_court;mandamus,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | court has continuing exclusive jurisdiction. Curtis v. Gibbs, 511 S.W.2d 263, 267 (Tex. 1974)"
In re Rose | 144 S.W.3d 661,28,13,15,86,appeal;property_financial;recusal;federal_court;removal_remand,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | by the accountability measures in place. In re Rose, 144 S.W.3d 661 (Tex."
George v. Urban | 833 F.3d 1242,27,0,27,64,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | continuous (George v. Urban Settlement Servs., 833 F.3d 1242, 1248 (10th"
Browning v. Prostok | 165 S.W.3d 336,26,16,10,76,appeal;notice;federal_court;hearing;property_financial,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | collateral attack in a separate proceeding.Browning v. Prostok, 165 S.W.3d 336, 346 (Tex. 2005)(Browning v."
Mathews v. Eldridge | 424 U.S. 319,26,21,5,53,fraud_perjury;appeal;law_enforcement;notice;hearing,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Mathews v. Eldridge, 424 U.S. 319 (1976)...36"
States v. Compton | 355 F.2d 872,26,1,25,29,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Under United States v. Compton, 355 F.2d 872 (6th Cir. 1966), this"
In re Alpert | 276 S.W.3d 592,25,1,24,38,recusal;appeal;property_financial;mandamus;hearing,"CASE DOCS\08.29.25 - NOTICE OF INTENT TO COMMENCE FEDERAL ACTION-1.pdf | 25.00255; In re Alpert, 276 S.W.3d 592 (Tex. App. 2008)). The coordinators"
Perry v. Del | 66 S.W.3d 239,24,21,3,85,appeal;federal_court;mandamus;notice;jurisdiction,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 2. Perry v. Del Rio, 66 S.W.3d 239, 252 (Tex. 2001)"
Ex parte Thuesen | 546 S.W.3d 145,24,1,23,65,recusal;ex_parte;appeal;federal_court;property_financial,"CASE DOCS\08.21.25 - SECOND AMENDED MOTION FOR REHEARING.pdf | vires and void ab initio. Ex parte Thuesen, 546 S.W.3d 145 (Tex."
In re Layton | 257 S.W.3d 794,24,11,13,49,appeal;law_enforcement;hearing;injunction;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | may issue to compel the trial court to act.  See In re Layton, 257 S.W.3d 794, 795"
Sears v. Nueces | 28 S.W.3d 611,24,4,20,44,law_enforcement;due_process;recusal;federal_court;appeal,"CASE DOCS\09.11.25 - MOTION TO RECUSE THE REGIONAL JUDGE-1.pdf | as to a judge's impartiality. See Sears v. Nueces County Sheriff Olivarez, 28 S.W.3d 611"
Perrin v. United | 444 U.S. 37,24,1,23,27,law_enforcement;rico;fraud_perjury;federal_court;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 78. The Supreme Court's explanation in Perrin v. United States, 444 U.S. 37"
Hall v. Bellmon | 935 F.2d 1106,24,1,23,25,law_enforcement;jurisdiction;rico;lockout_eviction;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | liberal construction but does not act as an advocate. See Hall v. Bellmon, 935 F.2d 1106,"
In re Conner | 458 S.W.3d 532,23,23,0,94,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | As stated in In re Conner, 458 S.W.3d 532 (Tex. 2015), [t]he issue here is whether a trial court"
In re Blakeney | 254 S.W.3d 659,23,21,2,74,notice;jurisdiction;hearing;custody;temporary_orders,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | has no discretion to refuse to rule at all. In re Blakeney, 254 S.W.3d 659, 661"
U.S. v. Smith | 413 F.3d 1253,23,0,23,53,fraud_perjury;appeal;federal_court;rico;property_financial,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | pose a threat of continued criminal activity (U.S. v. Smith, 413 F.3d 1253"
Gonzalez v. Guilbot | 315 S.W.3d 533,21,5,16,67,federal_court;appeal;notice;jurisdiction;removal_remand,"CASE DOCS\09.26.25 - ORDER SUMMARILY DENYING KAITCER-1.pdf |  30.016 (b) (3); Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010). That is, once a tertiary"
Condict v. Condict | 826 F.2d 923,21,1,20,57,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (10th Cir. 1989); Condict v. Condict, 826 F.2d 923, 927 (10th Cir. 1987)). The ongoing"
Walker v. Packer | 148 S.W.3d 124,21,16,5,49,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Am., 148 S.W.3d 124, 135-36 (Tex. 2004); Walker v. Packer, 827 S.W.2d 833,"
Condict v. Condict | 815 F.2d 579,21,0,21,41,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (2)-1.pdf | negative treatment of Condict v. Condict, 815 F.2d 579 (10th Cir. 1987) in"
Edwards v. First | 872 F.2d 347,21,1,20,35,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (10th Cir. 1987); Edwards v. First Nat. Bank, Bartlesville, Oklahoma, 872 F.2d 347, 351"
Page v. Sherrill | 415 S.W.2d 642,20,11,9,88,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Page v. Sherrill, 415 S.W.2d 642 (Tex. 1967): Mandamus granted where"
In re Southwestern | 35 S.W.3d 602,20,16,4,73,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | procedural sequence. In re Southwestern Bell Tel. Co., 35 S.W.3d 602, 605 (Tex. 2000). When a"
Padilla v. LaFrance | 907 S.W.2d 454,20,12,8,66,appeal;hearing;notice;jurisdiction;civil_rights_1983,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 8. This principle was reaffirmed in Padilla v. LaFrance, 907 S.W.2d 454 (Tex. 1995),"
Co. v. Jackson | 783 S.W.2d 202,20,16,4,56,recusal;appeal;federal_court;notice;hearing,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | Co. v. Jackson, 783 S.W.2d 202, 204 (Tex. 1989), the Texas Supreme Court"
Deck v. Engineered | 349 F.3d 1253,20,0,20,26,fraud_perjury;appeal;law_enforcement;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | incidental or remote (Deck v. Engineered Laminates, 349 F.3d 1253 (10th"
Hall v. Witteman | 584 F.3d 859,20,1,19,23,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | at *7 (citing Hall v. Witteman, 584 F.3d 859, 867-68 (10th Cir. 2009)). This is insufficient"
US. v. Blackmon | 839 F.2d 900,20,1,19,20,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | defraud."" As stated in US. v. Blackmon, 839 F.2d 900 (2nd Cir. 1988), the wire fraud"
Wyatt v. Shaw | 760 S.W.2d 245,19,19,0,67,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | However, the Texas Supreme Court in Wyatt v. Shaw Plumbing Co., 760 S.W.2d 245, 247 (Tex."
Sanchez v. State | 926 S.W.2d 391,19,13,6,49,recusal;appeal;law_enforcement;hearing;federal_court,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | judges impartiality. Sanchez v. State, 926 S.W.2d 391, 394 (Tex. App.El Paso"
In re Team | 256 S.W.3d 257,19,15,4,46,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | judicial system. In re Team Rocket, L.P., 256 S.W.3d 257, 262 (Tex. 2008)."
Inc. v. Chapman | 118 S.W.3d 742,19,15,4,46,hearing;federal_court;property_financial;mandamus;associate_judge,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | nullity. See King Ranch, Inc. v. Chapman, 118 S.W.3d 742, 75152 (Tex. 2003) (judgment"
Cosgrove v. Grimes | 774 S.W.2d 662,19,18,1,39,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | sentiment echoed in Cosgrove v. Grimes, 774 S.W.2d 662, 665 (Tex."
Young v. Young | 212 S.W.3d 417,19,18,1,39,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Young v. Young, 212 S.W.3d 417 (Tex. App. 2006).RESERVED"
In re E.L.T | 93 S.W.3d 372,19,9,10,23,appeal;notice;hearing;custody;federal_court,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf |  In re E.L.T., 93 S.W.3d 372 (Tex. App.Houston [14th Dist.] 2002, no pet.) (SAPCR"
Phelps v. Wichita | 886 F.2d 1262,19,0,19,22,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | Phelps v. Wichita Eagle-Beacon, 886 F.2d 1262 (10th Cir. 1989)"
U.S. v. Welch | 327 F.3d 1081,19,0,19,22,fraud_perjury;appeal;discovery;law_enforcement;notice,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | business enterprise (U.S. v. Welch, 327 F.3d 1081 (10th Cir. 2003)). The"
Breceda v. Whi | 187 S.W.3d 148,18,18,0,88,appeal;notice;hearing;federal_court;fraud_perjury,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | presumption is rebuttable. Breceda v. Whi, 187 S.W.3d 148, 152 (Tex. App.--El Paso 2006, no"
Tabas v. Tabas | 47 F.3d 1280,18,0,18,39,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-a-series-of-acts-spanning-from-December-2023-through-May-2025--including-wire-1.pdf | The Third Circuit in Tabas v. Tabas, 47 F.3d 1280 (3d Cir. 1995) (declined to"
Woodruff v. Wright | 51 S.W.3d 727,18,0,18,28,recusal;appeal;hearing;federal_court;property_financial,"RESEARCH\VLEX EVANS-1.pdf | Woodruff v. Wright, 51 S.W.3d 727 (Tex. App. 2001)"
S.P.R.L. v. Imrex | 741 F.2d 482,18,0,18,18,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Sedima, S.P.R.L. v. Imrex Co., Inc., 741 F.2d 482 (2nd Cir. 1984)"
In re Villarreal | 96 S.W.3d 708,17,17,0,56,appeal;law_enforcement;hearing;injunction;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | attention to the matter. See In re Villarreal, 96 S.W.3d 708, 710 (Tex. App."
Barnes v. State | 832 S.W.2d 424,17,3,14,49,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\05.02.25 - 25-0367 MANDAMUS-1.pdf | alleging child endangerment, see Barnes v. State, 832 S.W.2d 424, 426 (Tex."
Peralta v. Heights | 485 U.S. 80,17,12,5,43,fraud_perjury;appeal;notice;hearing;custody,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | Peralta v. Heights Medical Center, Inc., 485 U.S. 80, 84-85 (1988) (judgment rendered without"
Inc. v. J.I | 855 F.2d 241,17,0,17,31,rico;federal_court;appeal;property_financial;law_enforcement,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Delta Truck & Tractor, Inc. v. J.I. Case Co., 855 F.2d 241, 242 (5th Cir."
In re Scheller | 325 S.W.3d 640,17,17,0,29,fraud_perjury;appeal;law_enforcement;notice;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | ruling months or years in the future. In re Scheller, 325 S.W.3d 640, 643 (Tex."
Ludlow v. DeBerry | 959 S.W.2d 265,17,1,16,25,recusal;appeal;law_enforcement;hearing;federal_court,"CASE DOCS\11.11.24 - MOTION TO ENTER JUDGMENT-1.pdf | Ludlow v. DeBerry, 959 S.W.2d 265, 281 (Tex.App.-Houston [14th Dist.] 1997, no pet.)."
Caperton v. A.T | 556 U.S. 868,16,13,3,46,recusal;appeal;hearing;federal_court;property_financial,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | tolerable. Caperton v. A.T. Massey Coal Co., 556 U.S. 868, 872 (2009) (citing"
Lenz v. Lenz | 79 S.W.3d 10,16,13,3,44,appeal;law_enforcement;custody;property_financial;protective_order,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | conservatorship and possession of and access to the child); Lenz v. Lenz, 79 S.W.3d 10, 14"
Rogers v. Bradley | 909 S.W.2d 872,16,6,10,32,recusal;appeal;law_enforcement;hearing;due_process,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | recusal. See Rogers v. Bradley, 909 S.W.2d 872, 873 (Tex.1995) (Declaration of"
States v. Randall | 661 F.3d 1291,16,0,16,31,recusal;fraud_perjury;appeal;discovery;law_enforcement,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | F.Supp.3d 1209 (D. N.M. 2021); United States v. Randall, 661 F.3d 1291"
Abraham v. Singh | 480 F.3d 351,16,1,15,30,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.04.25 - NOTICE OF RICO COMPLAINT-1.pdf | predicate act under RICO (Abraham v. Singh, 480 F.3d 351 (5th Cir. 2007))."
Monroe v. Blackmon | 946 S.W.2d 533,16,0,16,23,law_enforcement;jurisdiction;federal_court;appeal;hearing,"RESEARCH\vLex-Vincent--1-NO--25-0367-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS----------MOTION-FOR-REHEARI-1.pdf | merely its denial. As explained in Monroe v. Blackmon, 946 S.W.2d 533 (Tex."
In re Crystal | 29 S.W.3d 199,16,0,16,18,appeal;notice;hearing;custody;ex_parte,"RESEARCH\vLex-Vincent-1-NO--25-_____-IN-THE-SUPREME-COURT-OF-TEXAS-IN-RE--CHARLES-DUSTIN-MYERS--RELATOR--On-Petition-for-W (2)-1.pdf | In re Crystal Aubin, 29 S.W.3d 199 (Tex. App. 2000)"
In re Inquiry | 677 S.W.3d 918,16,3,13,17,law_enforcement;recusal;federal_court;appeal;property_financial,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | In In re Inquiry Concerning Honorable Bonnie Rangel (677 S.W.3d 918, Tex. 2023), the Texas"
In re Chavez | 62 S.W.3d 225,15,15,0,42,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | [1st Dist.] 2006, orig. proceeding); In re Chavez, 62 S.W.3d 225, 228 (Tex."
In re Sheppard | 193 S.W.3d 181,15,15,0,42,fraud_perjury;appeal;law_enforcement;notice;jurisdiction,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | and pending before it. In re Sheppard, 193 S.W.3d 181, 183 (Tex. App.Houston"
Leon v. Aguilar | 127 S.W.3d 1,15,3,12,38,recusal;appeal;law_enforcement;federal_court;ex_parte,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | sufficiency of the allegations (De Leon v. Aguilar, 127 S.W.3d 1 (Tex. Crim. App. 2004))."
Crowe v. Henry | 43 F.3d 198,15,0,15,37,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent--TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcou-1.pdf | also Crowe v. Henry, 43 F.3d 198, 204 (5th Cir. 1995). The threshold"
Villarreal v. San | 994 S.W.2d 628,15,11,4,36,appeal;notice;hearing;federal_court;property_financial,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Villarreal v. San Antonio Truck & Equipment, 994 S.W.2d 628 (Tex. 1999)"
Bridge v. Phoenix | 553 U.S. 639,15,0,15,19,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | the injury. Bridge v. Phoenix Bond & Indem. Co., 553 U.S. 639, 649 (2008)."
Holmes v. Sec | 503 U.S. 258,15,0,15,16,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | racketeering activity. See Holmes v. Sec. Investor Prot. Corp., 503 U.S. 258,"
Corp. v. Leal | 892 S.W.2d 855,14,14,0,80,notice;jurisdiction;temporary_orders;lockout_eviction;federal_court,"CASE DOCS\03.20.2025_233-765358-25 EMERGENCY EX-PARTE MOTION TODECLARE JUDGMENT VOID AB INITIO AND FOR IMMEDIATE RE-ENTRY-1.pdf | Restaurant Corp. v. Leal, 892 S.W.2d 855, 857 (Tex.1995). This is so because a trial court cannot"
Corp. v. Baskette | 833 S.W.2d 612,14,11,3,33,appeal;law_enforcement;notice;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Briar Corp. v. Baskette, 833 S.W.2d 612 (Tex. App.El Paso 1992), and Lone Star"
Antonio v. Aguilar | 670 S.W.2d 681,14,13,1,30,appeal;notice;hearing;federal_court;law_enforcement,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | Antonio v. Aguilar, 670 S.W.2d 681, 684 (Tex. App.--San Antonio 1984, writ"
Clark v. Trailways | 774 S.W.2d 644,14,13,1,29,appeal;discovery;law_enforcement;notice;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | of the objections. See Clark v. Trailways, Inc., 774 S.W.2d 644, 647 (Tex. 1989), cert. denied,"
Elizondo v. Monteleone | 96 S.W.3d 705,14,13,1,29,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | allow those tactics to trump the childs immediate needs. Elizondo v. Monteleone, 96 S.W.3d 705,"
Srite v. Owens-Illinois | 369 S.W.2d 331,14,13,1,29,recusal;fraud_perjury;appeal;discovery;law_enforcement,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | McCardell, 369 S.W.2d 331, 335 (Tex. 1963); Srite v. Owens-Illinois, Inc., 870 S.W.2d 556, 565"
Kniatt v. State | 239 S.W.3d 910,14,3,11,28,law_enforcement;due_process;recusal;ex_parte;federal_court,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | 17-00194-CV (Tex. App. Dec 20, 2018); Kniatt v. State, 239 S.W.3d 910 (Tex. App. 2007); Sears"
