corpus,source_pdf,source_txt,date,case_numbers,signal_total,federal,district_court,removal,remand,civil_rights_1983,rico,due_process,jurisdiction,abstention,injunction,mandamus
research,RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.pdf,extracted_research\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-1.txt,,,690,96,16,0,0,0,578,0,0,0,0,0
research,RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-b067d643-1.pdf,extracted_research\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-b067d643-1.txt,,,690,96,16,0,0,0,578,0,0,0,0,0
research,RESEARCH\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-f9a6529d-1.pdf,extracted_research\vLex-Vincent--The-Plaintiff-described-an--association-in-fact-enterprise--with-defined-roles--ongoing-coordinatio-f9a6529d-1.txt,,,690,96,16,0,0,0,578,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-mother-and-stepfather-engaged-in-multiple-acts--including-wire-fraud--via-PayPal-transactions-an (1)-1.pdf,extracted_research\vLex-Vincent-The-mother-and-stepfather-engaged-in-multiple-acts--including-wire-fraud--via-PayPal-transactions-an (1)-1.txt,,,689,177,10,0,0,0,502,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-mother-and-stepfather-engaged-in-multiple-acts--including-wire-fraud--via-PayPal-transactions-an-1.pdf,extracted_research\vLex-Vincent-The-mother-and-stepfather-engaged-in-multiple-acts--including-wire-fraud--via-PayPal-transactions-an-1.txt,,,689,177,10,0,0,0,502,0,0,0,0,0
research,RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (2)-1.pdf,extracted_research\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (2)-1.txt,,,688,47,29,17,0,0,595,0,0,0,0,0
research,RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (3)-1.pdf,extracted_research\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff----- (3)-1.txt,,,688,47,29,17,0,0,595,0,0,0,0,0
research,RESEARCH\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------2192e234-1.pdf,extracted_research\vLex-Vincent-1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff------2192e234-1.txt,,,688,47,29,17,0,0,595,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.pdf,extracted_research\vLex-Vincent-The-complaint-alleges-that-Defendants-knowingly-agreed-to-participate-in-the-racketeering-enterprise-1.txt,,,684,105,9,0,0,0,570,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-complaint-alleges-an-association-in-fact-enterprise-among-Myers--Branthoover--and-Wilson--with-a-1.pdf,extracted_research\vLex-Vincent-The-complaint-alleges-an-association-in-fact-enterprise-among-Myers--Branthoover--and-Wilson--with-a-1.txt,,,671,71,14,0,0,0,586,0,0,0,0,0
research,RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-1.pdf,extracted_research\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-1.txt,2025-06-24,24-cv-01311-R;5-24-cv-01311,670,125,30,5,0,1,500,0,8,0,1,0
research,RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-6becab34-1.pdf,extracted_research\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-6becab34-1.txt,2025-06-24,24-cv-01311-R;5-24-cv-01311,670,125,30,5,0,1,500,0,8,0,1,0
research,RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-733220e3-1.pdf,extracted_research\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-733220e3-1.txt,2025-06-24,24-cv-01311-R;5-24-cv-01311,670,125,30,5,0,1,500,0,8,0,1,0
research,RESEARCH\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-f0372367-1.pdf,extracted_research\vLex-Vincent--Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FO-f0372367-1.txt,2025-06-24,24-cv-01311-R;5-24-cv-01311,670,125,30,5,0,1,500,0,8,0,1,0
research,RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Kenneth-Branthoover-collaborated-over-a-17-month-period-with-the-co-1.pdf,extracted_research\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Kenneth-Branthoover-collaborated-over-a-17-month-period-with-the-co-1.txt,,,668,87,19,0,0,1,561,0,0,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS-------1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA--CHARLES-DUSTIN-MYERS-------1.txt,,,664,110,30,0,0,4,508,0,12,0,0,0
research,RESEARCH\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.pdf,extracted_research\vLex-Vincent-NO--322-744263-23---NO--322-744538-23-ITMOMO-Morgan-Michelle-Myers-v-Charles-Dustin-Myers-MOTION-TO--1.txt,,322-744263-23;322-744538-23,663,207,37,17,6,19,0,149,74,35,6,113
research,RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-coordinated-and-planned-the-fraudulent-acts--including-wire-fraud---1.pdf,extracted_research\vLex-Vincent-Defendants-Myers-and-Branthoover-coordinated-and-planned-the-fraudulent-acts--including-wire-fraud---1.txt,,,655,230,8,0,0,0,417,0,0,0,0,0
research,RESEARCH\vLex-Vincent-Defendants-Myers-and-Branthoover-agreed-to-work-together-to-defraud-Plaintiff-and-deprive-him-of-his-1.pdf,extracted_research\vLex-Vincent-Defendants-Myers-and-Branthoover-agreed-to-work-together-to-defraud-Plaintiff-and-deprive-him-of-his-1.txt,,,654,122,8,0,0,0,524,0,0,0,0,0
research,RESEARCH\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (7)-1.pdf,extracted_research\vLex-Vincent-TABLE-OF-CONTENTS-I--JURISDICTION-AND-VENUE-II--PARTIES-III--RECORD-REFERENCES-https---search-txcour (7)-1.txt,,,654,93,27,3,0,2,486,4,21,7,1,10
research,RESEARCH\vLex-Vincent-What-are-the-legal-grounds-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-grounds-1.txt,,,653,224,26,0,0,65,0,118,97,94,29,0
research,RESEARCH\vLex-Vincent-What-are-the-legal-grounds-305e6555-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-grounds-305e6555-1.txt,,,653,224,26,0,0,65,0,118,97,94,29,0
research,RESEARCH\vLex-Vincent-What-are-the-legal-grounds-ad40072c-1.pdf,extracted_research\vLex-Vincent-What-are-the-legal-grounds-ad40072c-1.txt,,,653,224,26,0,0,65,0,118,97,94,29,0
research,RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-wire-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf,extracted_research\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-wire-fraud-in-a-RICO-suit-against-his-spouse--hi-1.txt,,,639,209,14,0,0,0,416,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-complaint-identifies-multiple-predicate-acts--including-wire-fraud--mail-fraud--and-obstruction--1.pdf,extracted_research\vLex-Vincent-The-complaint-identifies-multiple-predicate-acts--including-wire-fraud--mail-fraud--and-obstruction--1.txt,,,638,129,11,0,0,2,496,0,0,0,0,0
research,RESEARCH\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.pdf,extracted_research\vLex-Vincent-How-does-the-10th-Circuit-distinguish-between-the-person-and-the-enterprise-under-RICO--1.txt,,,621,61,13,0,0,0,547,0,0,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain (2)-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain (2)-1.txt,,,603,170,10,5,0,0,393,1,23,0,1,0
case,CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf,extracted_text\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.txt,2025-09-03,,602,190,10,16,0,0,352,0,20,0,12,2
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRJCT-COURT-FOR-THE-WESTERN-DISTRJCT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-1.txt,,,600,161,23,5,0,0,386,1,23,0,1,0
research,RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf,extracted_research\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.txt,,,599,115,15,0,0,0,469,0,0,0,0,0
research,RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-1.pdf,extracted_research\vLex-Vincent-Case-5-24-cv-01311-R-Document-16-Filed-06-24-25-Page-1-of-45-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-1.txt,2025-06-24,24-cv-01311-R;5-24-cv-01311,595,95,30,7,0,0,453,0,9,0,1,0
research,RESEARCH\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--389ccc19-1.pdf,extracted_research\vLex-Vincent-Case-5-24-cv-01311-R-Document-18-Filed-06-30-25-Page-1-of-5-FILED-JUN-3-D-2025-IN-THE-UNITED-STATES--389ccc19-1.txt,2025-06-30,24-cv-01311-R;5-24-cv-01311,593,111,30,0,0,1,450,0,1,0,0,0
research,RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-mail-fraud-in-a-RICO-suit-against-his-spouse--hi-1.pdf,extracted_research\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-mail-fraud-in-a-RICO-suit-against-his-spouse--hi-1.txt,,,582,203,11,0,0,1,360,0,5,2,0,0
case,CASE DOCS\05.27.25 - MCRED CAYCE.pdf,extracted_text\05.27.25 - MCRED CAYCE.txt,2025-05-27,,580,36,57,76,8,0,0,106,141,0,6,150
research,RESEARCH\vLex-Vincent-Under-what-circumstances-could-a-RICO-claim-arise-from-a-scheme-involving-a-wife--a-third-party--and-01d79fe1-1.pdf,extracted_research\vLex-Vincent-Under-what-circumstances-could-a-RICO-claim-arise-from-a-scheme-involving-a-wife--a-third-party--and-01d79fe1-1.txt,,,577,84,13,0,0,0,480,0,0,0,0,0
research,RESEARCH\vLex-Vincent-Under-what-circumstances-could-a-RICO-claim-arise-from-a-scheme-involving-a-wife--a-third-party--and-1.pdf,extracted_research\vLex-Vincent-Under-what-circumstances-could-a-RICO-claim-arise-from-a-scheme-involving-a-wife--a-third-party--and-1.txt,,,577,84,13,0,0,0,480,0,0,0,0,0
research,RESEARCH\vLex-Vincent-IV--INTRODUCTION--1--This-matter-highlights-an-egregious-and-malicious-series-of-actions-taken-by-th-1.pdf,extracted_research\vLex-Vincent-IV--INTRODUCTION--1--This-matter-highlights-an-egregious-and-malicious-series-of-actions-taken-by-th-1.txt,,,568,94,19,0,0,0,454,0,1,0,0,0
research,RESEARCH\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Branthoover-collaborated-to-devise-a-scheme-involving-the-preparati-1.pdf,extracted_research\vLex-Vincent-Morgan-Michelle-Myers-and-Daniel-Branthoover-collaborated-to-devise-a-scheme-involving-the-preparati-1.txt,,,564,88,13,0,0,0,463,0,0,0,0,0
research,RESEARCH\vLex-Vincent-Morgan-and-Daniel-engaged-in-multiple-acts--including-the-preparation-of-false-court-documents-and-t-1.pdf,extracted_research\vLex-Vincent-Morgan-and-Daniel-engaged-in-multiple-acts--including-the-preparation-of-false-court-documents-and-t-1.txt,,,558,191,11,0,0,0,356,0,0,0,0,0
research,RESEARCH\vLex-Vincent-The-complaint-assigns-distinct-roles-to-each-defendant--Myers-as-drafter-and-beneficiary-of-false-do-1.pdf,extracted_research\vLex-Vincent-The-complaint-assigns-distinct-roles-to-each-defendant--Myers-as-drafter-and-beneficiary-of-false-do-1.txt,,,558,78,6,0,0,1,473,0,0,0,0,0
research,RESEARCH\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-03d92fa3-1.pdf,extracted_research\vLex-Vincent-IN-THE-UNITED-STATES-DISTRICT-COURT-FOR-THE-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS--Plain-03d92fa3-1.txt,,,556,194,21,2,0,1,55,18,15,246,1,3
research,RESEARCH\vLex-Vincent-eXPLAIN-how-judges-and-attorneys-in-a-divorce-suit-can-be-implicated-in-a-rico-conspiracy-started-by-1.pdf,extracted_research\vLex-Vincent-eXPLAIN-how-judges-and-attorneys-in-a-divorce-suit-can-be-implicated-in-a-rico-conspiracy-started-by-1.txt,,,546,59,5,0,0,2,480,0,0,0,0,0
research,RESEARCH\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-obstruction-of-justice-for-filing-fraudulent-ple-1.pdf,extracted_research\vLex-Vincent-Under-what-statutes-should-a-father-seek-relief-for-obstruction-of-justice-for-filing-fraudulent-ple-1.txt,,,528,180,20,0,0,0,325,0,3,0,0,0
research,RESEARCH\vLex-Vincent-Myers--Branthoover--and-Wilson-collaborated-in-a-coordinated-manner-to-achieve-a-common-goal--to-unl-1.pdf,extracted_research\vLex-Vincent-Myers--Branthoover--and-Wilson-collaborated-in-a-coordinated-manner-to-achieve-a-common-goal--to-unl-1.txt,,,525,64,5,0,0,0,456,0,0,0,0,0
