citation,doc_count,doc_count_case,doc_count_research,total_hits,top_issues,sample_context
In re Norman,43,10,33,164,recusal;appeal;federal_court;property_financial;mandamus,"CASE DOCS\05.16.25 - NOTICE OF INTENT TO FILE MANDAMUS-1.pdf | ministerial duty. As explained in In re Norman, 191 S.W.3d 858 (Tex. App. 2006),"
Corp. v. Twombly,43,0,43,82,jurisdiction;federal_court;appeal;property_financial;notice,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | not suffice. Id. (quoting Bell Atl. Corp. v. Twombly, 550 U.S. 544, 570"
Corp. v. Stone,42,2,40,242,federal_court;appeal;rico;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (W.D. Okla. May 10, 2012) (citing Resol. Tr. Corp. v. Stone, 998 F.2d 1534, 1543 (10th Cir."
Inc v. Northwestern,39,0,39,89,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--Plaintiff-has-requested-leave-to-amend-to-add-new-facts--including-additional-threats-and-predicate-1.pdf | Inc v. Northwestern Bell Telephone Company, 492 U.S. 229, 109 S.Ct. 2893,"
Bustos v. Invierte,39,1,38,61,rico;fraud_perjury;federal_court;property_financial;jurisdiction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | be both related and continuous. Bustos v. Invierte En Tex. , 4:22-CV-02690 (S.D. Tex. Jun"
Bixler v. Foster,37,0,37,123,appeal;federal_court;property_financial;rico;fraud_perjury,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | 268 (1992); Bixler v. Foster, 596 F.3d 751, 757 (10th Cir. 2010). The evidence"
Ashcroft v. Iqbal,37,1,36,82,jurisdiction;federal_court;appeal;property_financial;law_enforcement,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | (10th Cir. 2025) (quoting Ashcroft v. Iqbal, 556 U.S. 662, 678 (2009)). And while the Court"
Hall v. Witteman,37,1,36,79,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | at *7 (citing Hall v. Witteman, 584 F.3d 859, 867-68 (10th Cir. 2009)). This is insufficient"
Troxel v. Granville,36,23,13,228,appeal;notice;hearing;custody;ex_parte,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | fit parent. Troxel v. Granville, 530 U.S. at 68-69. The government may not"
Skurkey v. Daniel,36,2,34,108,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | the RICO requirement of a closed or open pattern of continuity.  Skurkey v. Daniel, No."
Schrag v. Dinges,35,1,34,143,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | isolated events (Schrag v. Dinges, 788 F.Supp. 1543, 1556 (D. Kan. 1992)). The"
In re E.R,35,12,23,132,due_process;notice;federal_court;appeal;hearing,"CASE DOCS\04.10.25 - 02-25-00164-CV MOTION FOR REHEARING-1.pdf | not voidable, they can be collaterally attacked at any time. In re E.R., 385 S.W.3d"
Heinrich v. Waiting,35,0,35,58,rico;fraud_perjury;federal_court;appeal;property_financial,RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | sufficient to demonstrate a pattern. Heinrich v. Waiting Angels Adoption
Co. v. Donovan,35,1,34,49,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 93. As Allstate Ins. Co. v. Donovan, CIVIL ACTION NO. H-12-0432 (S.D. Tex. Jul"
George v. Urban,33,1,32,136,rico;federal_court;appeal;property_financial;fraud_perjury,CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | least two predicate acts that are both related and continuous (George v. Urban Settlement
Inc. v. Dick,32,1,31,137,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Torwest DBC, Inc. v. Dick, 810 F.2d 925, 928 (10th Cir. 1987); Edwards v. First Nat."
Co. v. FNF,32,1,31,132,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Co. v. FNF Constr., Inc., No. 10-cv-0635 RB/SMV (D. N.M. Mar 27, 2013); Suddath v."
Reves v. Ernst,32,0,32,112,rico;federal_court;appeal;property_financial;fraud_perjury,RESEARCH\vLex-Vincent----The-mother-s-attorney-prepared-the-fraudulent-agreement-and-participated-in-the-scheme-to-deprive-1.pdf | racketeering activity. The Supreme Court in Reves v. Ernst & Young clarified
Inc. v. SFHC,32,1,31,66,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | when they make up one common scheme. Id. (citing Sil-Flo, Inc. v. SFHC, Inc., 917 F.2d"
Holley v. Adams,31,23,8,261,custody;property_financial;appeal;protective_order;law_enforcement,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Holley v. Adams, 544 S.W.2d 367 (Tex. 1976).36"
Bank v. Monson,31,0,31,62,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | UMB Bank v. Monson, 21-CV-2504-EFM (D. Kan. Jun 04, 2025)"
Bonton v. Archer,31,1,30,62,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | sufficient to establish a pattern. As explained in Bonton v. Archer Chrysler Plymouth,"
Sedima v. Imrex,31,0,31,42,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Sedima v. Imrex Company, Inc, 473 U.S. 479, 105 S.Ct. 3275, 87 L.Ed.2d 346"
States v. Greenberg,30,1,29,62,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | scheme to defraud."" As noted in United States v. Greenberg, 835 F.3d 295 (2nd Cir."
Smulley v. Fed,30,1,29,33,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | as the object of the scheme"" as stated in Smulley v. Fed Haus. Fin. Agency, 17-2666 (2nd"
Johnson v. Heath,29,2,27,159,rico;federal_court;appeal;property_financial;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | period of repeated conduct or an open-ended threat of future racketeering (Johnson v. Heath, 56"
Curtis v. Gibbs,29,29,0,158,appeal;notice;jurisdiction;federal_court;mandamus,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | 7. Further, The Texas Supreme Court in Curtis v. Gibbs explained that a first filers bad"
Browning v. Prostok,29,18,11,124,appeal;notice;federal_court;hearing;property_financial,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | collateral attack in a separate proceeding.Browning v. Prostok, 165 S.W.3d 336, 346 (Tex. 2005)(Browning v."
In re State,29,14,15,65,appeal;mandamus;jurisdiction;hearing;property_financial,"CASE DOCS\04.03.24 - EMERGENCY RELIEF - STAY_Redacted_3966607E-1.pdf | jurisdiction and issues a void order."" In re State,"
U.S. v. Welch,29,0,29,62,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | business enterprise (U.S. v. Welch, 327 F.3d 1081 (10th Cir. 2003)). The"
Perrin v. United,29,1,28,38,law_enforcement;rico;fraud_perjury;federal_court;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | 78. The Supreme Court's explanation in Perrin v. United States, 444 U.S. 37"
U.S. v. Admon,29,1,28,35,law_enforcement;rico;fraud_perjury;federal_court;appeal,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | coordinating the fraudulent scheme. As U.S. v. Admon, 940 F.2d"
In re Rose,28,13,15,118,appeal;property_financial;recusal;federal_court;removal_remand,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | by the accountability measures in place. In re Rose, 144 S.W.3d 661 (Tex."
Perry v. Del,27,21,6,133,appeal;federal_court;jurisdiction;mandamus;notice,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 2. Perry v. Del Rio, 66 S.W.3d 239, 252 (Tex. 2001)"
Ex parte Thuesen,27,4,23,118,recusal;ex_parte;appeal;federal_court;property_financial,"CASE DOCS\08.21.25 - SECOND AMENDED MOTION FOR REHEARING.pdf | Judge issues a written order of reinstatement. Ex parte Thuesen,"
Bridge v. Phoenix,27,0,27,70,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--Plaintiff-alleges-a-coordinated-scheme-involving-multiple-defendants--Myers--Branthoover--Carter--B-1.pdf | the injury. Bridge v. Phoenix Bond & Indem. Co., 553 U.S. 639, 649 (2008)."
Sears v. Nueces,27,7,20,69,recusal;federal_court;appeal;due_process;property_financial,CASE DOCS\08.27.25 - NOTICE OF INTENT TO FILE RECUSAL-1.pdf | impartiality might reasonably be questioned. See Sears v. Nueces County Sherriff
Mathews v. Eldridge,26,21,5,69,fraud_perjury;appeal;law_enforcement;notice;hearing,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | Mathews v. Eldridge, 424 U.S. 319 (1976)...36"
In re Alpert,26,2,24,56,recusal;appeal;property_financial;mandamus;federal_court,"CASE DOCS\08.29.25 - NOTICE OF INTENT TO COMMENCE FEDERAL ACTION-1.pdf | 25.00255; In re Alpert, 276 S.W.3d 592 (Tex. App. 2008)). The coordinators"
States v. Compton,26,1,25,29,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Under United States v. Compton, 355 F.2d 872 (6th Cir. 1966), this"
In re Inquiry,25,8,17,84,law_enforcement;recusal;federal_court;appeal;property_financial,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | In In re Inquiry Concerning Honorable Bonnie Rangel (677 S.W.3d 918, Tex. 2023), the Texas"
In re Team,25,20,5,75,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | judicial system. In re Team Rocket, L.P., 256 S.W.3d 257, 262 (Tex. 2008)."
Heden v. Hill,25,1,24,58,rico;fraud_perjury;federal_court;property_financial;appeal,"CASE DOCS\09.04.25 - NOTICE OF RICO COMPLAINT-1.pdf | 2007); Burzynski, In re, 989 F.2d 733 (5th Cir. 1993); Heden v. Hill, 937 F.Supp. 1230 (S.D. Tex."
In re Layton,24,11,13,87,appeal;law_enforcement;hearing;injunction;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | In re Layton,"
U.S. v. Smith,24,0,24,83,fraud_perjury;appeal;federal_court;rico;property_financial,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | pose a threat of continued criminal activity (U.S. v. Smith, 413 F.3d 1253"
Bypass v. Axos,24,0,24,67,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | collection of unlawful debt. See 100 Mount Holly Bypass v. Axos Bank, Case"
Inc. v. Gable,24,0,24,55,fraud_perjury;appeal;federal_court;property_financial;rico,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (1)-1.pdf | of harm RICO is designed to redress. Plains Resources, Inc. v. Gable, 782 F."
Brown v. City,24,1,23,38,law_enforcement;notice;jurisdiction;rico;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | claim to relief that is plausible on its face. Brown v. City of Tulsa, 124 F.4th 1251, 1263"
Brooks v. Mentor,24,1,23,27,law_enforcement;notice;jurisdiction;rico;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | conceivable or speculative to plausible. Id. (quoting Brooks v. Mentor Worldwide LLC,"
George v. Urb,24,1,23,26,notice;jurisdiction;rico;fraud_perjury;federal_court,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | Johnson v. Heath, 56 F.4th 851, 858 (10th Cir. 2022) (quoting George v. Urb. Settlement"
Hall v. Bellmon,24,1,23,25,law_enforcement;jurisdiction;rico;lockout_eviction;fraud_perjury,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | liberal construction but does not act as an advocate. See Hall v. Bellmon, 935 F.2d 1106,"
Wyatt v. Shaw,23,23,0,151,fraud_perjury;appeal;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | However, the Texas Supreme Court in Wyatt v. Shaw Plumbing Co., 760 S.W.2d 245, 247 (Tex."
In re Conner,23,23,0,114,appeal;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | As stated in In re Conner, 458 S.W.3d 532 (Tex. 2015), [t]he issue here is whether a trial court"
In re Blakeney,23,21,2,95,notice;jurisdiction;hearing;custody;temporary_orders,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | has no discretion to refuse to rule at all. In re Blakeney, 254 S.W.3d 659, 661"
Edwards v. First,23,1,22,84,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | (Torwest DBC, Inc. v. Dick, 810 F.2d 925, 928 (10th Cir. 1987); Edwards v. First Nat."
In re Charles,23,17,6,72,federal_court;appeal;notice;jurisdiction;property_financial,"CASE DOCS\02-25-00164-CV_MANDAMUS_FILED - 04.10.2025-1.pdf | In re Charles Dustin Myers, Relator"
Kashan v. McLane,23,14,9,65,notice;jurisdiction;federal_court;removal_remand;appeal,CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | court a certified copy of the order of remand. TEX. R. CIV. P. 237a; see also Kashan v. McLane
LLC v. City,23,9,14,34,appeal;federal_court;property_financial;fraud_perjury;discovery,"CASE DOCS\05.08.25 - 25-0361 FIRST AMENDED MOTION TO CONSOLIDATE-1.pdf | to how the temporary injunction in Coyote Lake Ranch, LLC v. City of Lubbock, 498"
Pagel v. Wash,23,1,22,24,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | racketeering activity. Pagel v. Wash. Mut. Bank, Inc., 153 F. Appx 498, 502 (10th Cir."
Condict v. Condict,22,1,21,135,rico;fraud_perjury;federal_court;appeal;property_financial,"CASE DOCS\09.14.25 - MOTION FOR RECONSIDERATION-1.pdf | Bank, Bartlesville, Oklahoma, 872 F.2d 347, 351 (10th Cir. 1989); Condict v. Condict,"
In re Southwestern,22,17,5,105,appeal;notice;jurisdiction;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | procedural sequence. In re Southwestern Bell Tel. Co., 35 S.W.3d 602, 605 (Tex. 2000). When a"
In re Tex,22,17,5,99,appeal;federal_court;notice;property_financial;mandamus,CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | speedy resolution of child custody and child support issues. In re Tex. Dept of Fam. &
Caperton v. A.T,22,13,9,85,appeal;federal_court;due_process;recusal;hearing,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | tolerable. Caperton v. A.T. Massey Coal Co., 556 U.S. 868, 872 (2009) (citing"
In re C.M,22,18,4,61,federal_court;appeal;mandamus;recusal;due_process,CASE DOCS\02-24-00149-CV_CORR OPINION PAGE_FILECOPY_FC8D2EE3-0f787c6f-1.pdf | In re C.M.
Corp. v. Garcia,22,11,11,56,appeal;hearing;injunction;federal_court;mandamus,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Safety-Kleen Corp. v. Garcia,"
Gonzalez v. Guilbot,21,5,16,103,federal_court;appeal;notice;jurisdiction;removal_remand,"CASE DOCS\09.26.25 - ORDER SUMMARILY DENYING KAITCER-1.pdf |  30.016 (b) (3); Gonzalez v. Guilbot, 315 S.W.3d 533 (Tex. 2010). That is, once a tertiary"
Johnson v. Fourth,21,13,8,83,appeal;law_enforcement;notice;hearing;federal_court,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Johnson v. Fourth Court of Appeals,"
In re Gold,21,6,15,79,appeal;federal_court;property_financial;notice;recusal,"CASE DOCS\07.11.25 - 25-0378 Rehearing-1.pdf | explained in In re Gold, 04-25-00085-CV (Tex. App. May 07, 2025): ""Whether a"
In re Moore,21,3,18,60,recusal;appeal;federal_court;hearing;due_process,"CASE DOCS\09.05.25 - MOTION TO RECUSE JAMES MUNFORD-1.pdf | Newton, NUMBER 13-19-00309-CV (Tex. App. Jul 16, 2020); In re Moore, NUMBER 13-19-"
Reynolds v. Condon,21,0,21,48,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent-Charles-was-evicted-from-his-home-and-divested-of-custody-of-his-children-as-a-result-of-the-coordin-1.pdf | Particularly relevant to Charles's situation is Reynolds v. Condon, 908"
Inc. v. J.I,21,0,21,45,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | Delta Truck & Tractor, Inc. v. J.I. Case Co., 855 F.2d 241, 242 (5th Cir."
Phelps v. Wichita,21,0,21,44,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent--1-UNITED-STATES-DISTRICT-COURT-WESTERN-DISTRICT-OF-OKLAHOMA-CHARLES-DUSTIN-MYERS------Plaintiff---- (1)-1.pdf | See id. at 241, 109 S.Ct. at 2902; Phelps v. Wichita Eagle-Beacon, 886 F.2d"
LLC v. Custom,21,0,21,37,rico;fraud_perjury;federal_court;appeal;property_financial,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Nutrition Distribution LLC v. Custom Nutraceuticals LLC, 194 F.Supp.3d 952"
Page v. Sherrill,20,11,9,115,appeal;notice;jurisdiction;hearing;custody,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | Page v. Sherrill, 415 S.W.2d 642 (Tex. 1967): Mandamus granted where"
Co. v. Jackson,20,16,4,78,recusal;appeal;federal_court;notice;hearing,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | Co. v. Jackson, 783 S.W.2d 202, 204 (Tex. 1989), the Texas Supreme Court"
In re Amir-Sharif,20,5,15,74,recusal;appeal;hearing;property_financial;mandamus,"CASE DOCS\05.19.25 - 0426 MANDAMUS-1.pdf | In re Amir-Sharif,"
Quintero v. Jim,20,12,8,74,appeal;civil_rights_1983;hearing;notice;jurisdiction,"CASE DOCS\03.20.2025_233-765358-25 EMERGENCY EX-PARTE MOTION TODECLARE JUDGMENT VOID AB INITIO AND FOR IMMEDIATE RE-ENTRY-1.pdf | is void ab initio. The Texas Supreme Courts decision in Quintero v. Jim Walter Homes, Inc., 654"
Padilla v. LaFrance,20,12,8,70,appeal;hearing;notice;jurisdiction;civil_rights_1983,"CASE DOCS\03.20.25 - Motion to Strike Carter's Answer and Consolidation-1.pdf | 8. This principle was reaffirmed in Padilla v. LaFrance, 907 S.W.2d 454 (Tex. 1995),"
Chambers v. King,20,0,20,48,rico;federal_court;appeal;property_financial;fraud_perjury,"RESEARCH\vLex-Vincent--The-Plaintiff-alleged-a-series-of-acts-spanning-from-December-2023-through-May-2025--including-wire-1.pdf | or method, and not be isolated events (Chambers v. King Buick GMC, LLC,"
Co. v. Benhamou,20,0,20,47,rico;fraud_perjury;federal_court;property_financial;appeal,"RESEARCH\vLex-Vincent----A-woman--the-Petitioner--opened-a-private-bank-account--transferred--1-576-from-the-marital-estat-1.pdf | interstate or foreign commerce (Allstate Ins. Co. v. Benhamou, 190 F.Supp."
Inc. v. Bielli,20,0,20,28,rico;fraud_perjury;federal_court;property_financial;appeal,"RESEARCH\vLex-Vincent-Based-on-the-above--Defendants-Myers-and-Branthoover-have-committed-multiple-RICO-predicate-acts-wir-1.pdf | Arizona Premium Finance, Inc. v. Bielli, 77 F.Supp.2d 341 (E.D. N.Y. 1999)"
Deck v. Engineered,20,0,20,27,fraud_perjury;appeal;law_enforcement;jurisdiction;federal_court,"RESEARCH\vLex-Vincent-------------------------II--TIMELINE-OF-EVENTS-BACKGROUND--Morgan-Michelle-Myers----Myers---and-Char (2)-1.pdf | incidental or remote (Deck v. Engineered Laminates, 349 F.3d 1253 (10th"
US. v. Blackmon,20,1,19,20,law_enforcement;notice;jurisdiction;rico;lockout_eviction,"CASE DOCS\09.03.25 - FIRST AMENDED REQUEST FOR EMERGENCY STAY AND INJUNCTIVE RELIEF-1.pdf | defraud."" As stated in US. v. Blackmon, 839 F.2d 900 (2nd Cir. 1988), the wire fraud"
Stanley v. Illinois,19,14,5,96,appeal;notice;hearing;custody;ex_parte,"CASE DOCS\04.23.25 - Notice of Trial Setting-1.pdf | deprivation of parental rights. As the U.S. Supreme Court held in Stanley v. Illinois, an unwed"
Cosgrove v. Grimes,19,18,1,78,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | sentiment echoed in Cosgrove v. Grimes, 774 S.W.2d 662, 665 (Tex."
Smith v. Jones,19,18,1,78,fraud_perjury;appeal;discovery;law_enforcement;notice,"CASE DOCS\03.14.24 - AJ Rep-1.pdf | integrity of legal agreements, as exemplified in Smith v. Jones, where the"
Myers v Charles,19,18,1,76,notice;federal_court;child_support_oag;recusal;appeal,CASE DOCS\02.25.25 - Notice Loss of Employmnet-1.pdf | Morgan Michelle Myers v Charles Dustin Myers
Sanchez v. State,19,13,6,71,recusal;appeal;law_enforcement;hearing;federal_court,"CASE DOCS\04.08.25 - FIRST AMENDED MOTION TO RECUSE-1.pdf | judges impartiality. Sanchez v. State, 926 S.W.2d 391, 394 (Tex. App.El Paso"
In re Bonds,19,19,0,51,fraud_perjury;law_enforcement;notice;jurisdiction;hearing,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | a reasonable amount of time constitutes a clear abuse of discretion."" In re Bonds,"
Inc. v. Chapman,19,15,4,49,hearing;federal_court;property_financial;mandamus;associate_judge,"CASE DOCS\02-25-00171-CV MANDAMUS RECORD-1.pdf | nullity. See King Ranch, Inc. v. Chapman, 118 S.W.3d 742, 75152 (Tex. 2003) (judgment"
